,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype,arr_city_name
0,0,https://www.blablacar.it/passaggio-milano-catanzaro-665218690,2017-07-01,04:00:09,Milano,45.47903,9.144374,Lotto M1-M5,Catanzaro,38.9097919,16.5876516,"88100 Catanzaro, Italia",77.5,1165,2,2,665218690-milano-catanzaro,"[Milano, Catanzaro, Soverato]",manual,online,Catanzaro
1,1,https://www.blablacar.it/passaggio-milaan-bologna-766640695,2017-07-01,18:30:00,Milano,45.4654219,9.1859243,"Milaan, Italië",Bologna,44.494887,11.3426163,"Bologna, Italië",17.5,216,2,2,766640695-milaan-bologna,"[Parigi, Milano, Bologna, Firenze]",manual,online,Bologna
2,2,https://www.blablacar.it/passaggio-milan-verone-719497019,2017-07-02,12:40:00,Milano,45.4654219,9.1859243,"Milan, Italie",Verona,45.4383842,10.9916215,"Vérone, Italie",9.5,160,3,3,719497019-milan-verone,"[Mulhouse, Milano, Verona, Sibenico]",manual,online,Verona
3,3,https://www.blablacar.it/passaggio-milano-castione-742387140,2017-07-02,16:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Castione,46.1728642,9.799594,Sondrio,8.5,138,3,3,742387140-milano-castione,"[Genova, Milano, Castione, Sondrio]",auto,online,Castione
4,4,https://www.blablacar.it/passaggio-milano-bologna-749907855,2017-07-03,01:00:04,Milano,45.465423584,9.18592453,"Milano, Italia",Bologna,44.494888306,11.342616081,Bologna,13.0,216,3,3,749907855-milano-bologna,"[Milano, Bologna, Bari]",auto,online,Bologna
5,5,https://www.blablacar.it/passaggio-milano-roma-736772375,2017-07-03,21:30:00,Milano,45.4654219,9.1859243,"Milano, Italia",Roma,41.910949,12.5391653,"Via delle Cave di Pietralata, Roma, Italia",50.0,580,4,4,736772375-milano-roma,"[Lilla, Milano, Roma, Messina]",auto,online,Roma
6,6,https://www.blablacar.it/passaggio-milano-siena-701853768,2017-07-04,06:30:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Siena,43.318809,11.3307574,"Siena, SI, Italia",23.0,367,2,2,701853768-milano-siena,"[Milano, Siena, Catania]",manual,online,Siena
7,7,https://www.blablacar.it/passaggio-milano-genova-737214155,2017-07-05,00:50:44,Milano,45.475732,9.1378105,"San Siro, Milano, Italia",Genova,44.4166517,8.9217369,"Stazione Piazza Principe, Genoa",7.5,147,3,3,737214155-milano-genova,"[Milano, Genova]",auto,online,Genova
8,8,https://www.blablacar.it/passaggio-milano-torino-730760270,2017-07-05,01:00:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Torino,45.070312,7.6868565,"Torino, TO, Italia",6.5,141,3,3,730760270-milano-torino,"[Milano, Torino]",manual,online,Torino
9,9,https://www.blablacar.it/passaggio-milano-bologna-711994659,2017-07-05,10:00:00,Milano,45.46549,9.18588,"Milano, MI",Bologna,44.494887,11.3426163,"Bologna, BO",13.0,215,4,4,711994659-milano-bologna,"[Milano, Bologna, Trani]",auto,online,Bologna
10,10,https://www.blablacar.it/passaggio-milano-roma-324833616,2017-07-05,14:00:00,Milano,45.46549,9.18588,"Milano, MI",Roma,41.9027835,12.4963655,"Roma, RM",31.0,575,3,3,324833616-milano-roma,"[Milano, Roma]",none,no_booking,Roma
11,11,https://www.blablacar.it/passaggio-milano-bianco-715829974,2017-07-06,05:00:00,Milano,45.46549,9.18588,"Milano, MI",Bianco,38.0875024,16.1519461,"Bianco, RC",75.5,1253,3,3,715829974-milano-bianco,"[Milano, Bianco]",manual,online,Bianco
12,12,https://www.blablacar.it/passaggio-milano-levanto-765658840,2017-07-07,19:00:00,Milano,45.5020956,9.2116332,"Piazza Greco, Milano, MI",Levanto,44.1707882,9.6109056,via delle rimembranze levanto,23.0,253,2,2,765658840-milano-levanto,"[Milano, Levanto]",manual,online,Levanto
13,13,https://www.blablacar.it/passaggio-milan-mulhouse-719497099,2017-07-08,23:20:00,Milano,45.4654219,9.1859243,"Milan, Italie",Mulhouse,47.750839,7.335888,"Mulhouse, France",27.5,377,3,3,719497099-milan-mulhouse,"[Sibenico, Milano, Mulhouse]",manual,online,Mulhouse
14,14,https://www.blablacar.it/passaggio-milano-malpensa-aeroporto-ferno-va-730389975,2017-07-08,05:00:00,Milano,45.4654219,9.1859243,"Milano, MI","Malpensa Aeroporto, Ferno, VA",45.627237,8.711096,"Malpensa Aeroporto, Ferno, VA",3.0,52,2,2,730389975-milano-malpensa-aeroporto-ferno-va,[Milano],none,no_booking,Ferno
15,15,https://www.blablacar.it/passaggio-milan-rimini-735445095,2017-07-09,03:30:01,Milano,45.4654219,9.1859243,"Milan, Italie",Rimini,44.0678288,12.5695158,"Rimini, Italie",23.0,333,2,2,735445095-milan-rimini,"[Altkirch, Milano, Rimini]",auto,online,Rimini
16,16,https://www.blablacar.it/passaggio-milano-levanto-765659460,2017-07-14,19:00:00,Milano,45.5020956,9.2116332,"Piazza Greco, Milano, MI",Levanto,44.1707882,9.6109056,via delle rimembranze levanto,23.0,253,2,2,765659460-milano-levanto,"[Milano, Levanto]",manual,online,Levanto
17,17,https://www.blablacar.it/passaggio-milan-verone-733592905,2017-07-17,08:20:38,Milano,45.4654219,9.1859243,"Milan, Italie",Verona,45.4383842,10.9916215,Vérone,12.0,160,2,2,733592905-milan-verone,"[Milano, Verona, Lubiana]",manual,online,Verona
18,18,https://www.blablacar.it/passaggio-milano-bologna-757607995,2017-07-19,07:10:00,Milano,45.465423584,9.18592453,"Milano, Italia",Bologna,44.494888306,11.342616081,Bologna,9.5,216,3,3,757607995-milano-bologna,"[Milano, Bologna, Napoli]",manual,online,Bologna
19,19,https://www.blablacar.it/passaggio-milan-venise-770809460,2017-07-19,16:30:00,Milano,45.437393188,9.168777466,"Famagosta M2, Milano",Venezia,45.4917023,12.2543722,"Parco Allende, Venezia",14.0,281,2,2,770809460-milan-venise,"[Milano, Venezia]",manual,online,Venezia
20,20,https://www.blablacar.it/passaggio-milan-rome-763709720,2017-07-21,12:00:00,Milano,45.4654219,9.1859243,"Milan, Italie",Roma,41.9027835,12.4963655,"Rome, Italie",24.0,574,1,1,763709720-milan-rome,"[Milano, Roma]",auto,online,Roma
21,21,https://www.blablacar.it/passaggio-milano-levanto-765664245,2017-07-21,19:00:00,Milano,45.5020956,9.2116332,"Piazza Greco, Milano, MI",Levanto,44.1707882,9.6109056,via delle rimembranze levanto,23.0,253,2,2,765664245-milano-levanto,"[Milano, Levanto]",manual,online,Levanto
22,22,https://www.blablacar.it/passaggio-mailand-nizza-748882865,2017-07-22,14:00:26,Milano,45.4654219,9.1859243,"Mailand, Italien",Nizza,43.7101728,7.2619532,"Nizza, Frankreich",17.5,318,2,2,748882865-mailand-nizza,"[Milano, Nizza]",auto,online,Nizza
23,23,https://www.blablacar.it/passaggio-milano-piacenza-724548294,2017-07-23,10:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Piacenza,45.0526206,9.6929845,"Piacenza, PC",6.5,71,2,2,724548294-milano-piacenza,"[Varese, Milano, Piacenza, Lucca]",manual,online,Piacenza
24,24,https://www.blablacar.it/passaggio-milan-venise-766054120,2017-07-23,12:40:00,Milano,45.4654219,9.1859243,"Milan, Italie",Venezia,45.4408474,12.3155151,"Venise, Italie",18.5,270,3,3,766054120-milan-venise,"[Romans-sur-Isère, Milano, Venezia, Belgrado]",auto,online,Venezia
25,25,https://www.blablacar.it/passaggio-milano-varese-724548319,2017-07-24,22:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Varese,45.8205989,8.8250576,"Varese, VA",5.5,59,2,2,724548319-milano-varese,"[Lucca, Milano, Varese]",manual,online,Varese
26,26,https://www.blablacar.it/passaggio-milano-belfort-767353030,2017-07-27,09:30:37,Milano,45.4544813,9.1635621,"Via Bergognone, 27, 20144 Milano, Italia",Belfort,47.639806,6.86285,"Parking rue G. Pompidou, Belfort",29.5,412,3,3,767353030-milano-belfort,"[Milano, Belfort]",manual,online,Belfort
27,27,https://www.blablacar.it/passaggio-milan-florence-771458915,2017-07-27,13:20:00,Milano,45.4654219,9.1859243,"Milan, Italie",Firenze,43.7695604,11.2558136,"Florence, Italie",15.0,318,1,1,771458915-milan-florence,"[Liegi, Milano, Firenze, Bolsena]",manual,online,Firenze
28,28,https://www.blablacar.it/passaggio-milano-livorno-754250780,2017-07-28,08:30:00,Milano,45.48604357,9.216095656,"Loreto M1-M2, Milano",Livorno,43.5542427,10.335398,"Stazione Centrale, Livorno",13.0,297,2,2,754250780-milano-livorno,"[Milano, Livorno]",auto,online,Livorno
29,29,https://www.blablacar.it/passaggio-milano-civitavecchia-739310035,2017-07-28,09:00:00,Milano,45.465423584,9.18592453,"Milano, MI",Civitavecchia,42.106216431,11.775679588,Civitavecchia Port,32.5,541,4,4,739310035-milano-civitavecchia,"[Milano, Civitavecchia]",manual,online,Civitavecchia
30,30,https://www.blablacar.it/passaggio-milano-spotorno-766685285,2017-07-28,19:00:33,Milano,45.5020956,9.2116332,"Piazza Greco, 20125 Milano, Italia",Spotorno,44.2266524,8.4116086,"Piazza Camillo Sbarbaro, 17028 Spotorno SV, Italia",18.5,201,4,4,766685285-milano-spotorno,"[Milano, Spotorno]",manual,online,Spotorno
31,31,https://www.blablacar.it/passaggio-milan-bologne-747316635,2017-07-30,11:20:00,Milano,45.4654219,9.1859243,"Milan, Italie",Bologna,44.494887,11.3426163,Bologne,12.0,216,2,2,747316635-milan-bologne,"[Metz, Milano, Bologna, Noci]",manual,online,Bologna
32,32,https://www.blablacar.it/passaggio-milan-menaggio-759302275,2017-07-31,09:50:59,Milano,45.4839709,9.2060969,"Centrale, Milano, Italie",Menaggio,46.0160486,9.2571676,"Lac de Côme, Italie",6.5,80,2,2,759302275-milan-menaggio,"[Milano, Menaggio]",manual,online,Menaggio
33,33,https://www.blablacar.it/passaggio-milano-livorno-749167470,2017-07-31,16:00:00,Milano,45.4395937,9.2247285,"Corvetto M3, Milan",Livorno,43.548473,10.3105674,"Livorno, LI",16.5,292,3,3,749167470-milano-livorno,"[Milano, Livorno, Cagliari]",auto,online,Livorno
